time_s,numerical_displacement_mm,exact_displacement_mm,velocity_m_per_s,mount_load_N,energy_J,damping_power_W
1.2,1.0567538550569637,1.0567551530952626,0.05536260609228269,5.334267542073508,0.017558548187001793,0.06130036306658514
1.202,1.166384279832596,1.1663855428286722,0.05425394218893132,5.750615963109011,0.017438355791680717,0.05886980486079804
1.204,1.2737148198312902,1.2737160457902599,0.05306308271122239,6.156120933549609,0.017323152618605855,0.05631381493636057
1.206,1.378583293210398,1.3785844801981373,0.05179225710061566,6.5501783148539054,0.01721317327051902,0.053648757911525465
1.208,1.4808320964730002,1.4808332426191844,0.05044381357184969,6.932204657328994,0.017108619034246878,0.050891566553430544
1.21,1.5803084378194743,1.580309541320572,0.04902021488965845,7.301638049071066,0.017009656856428315,0.048059629356565846
1.212,1.6768645618852083,1.6768656210073372,0.047524033979457855,7.65793892712999,0.01691641854621627,0.0451706761136133
1.214,1.7703579655400286,1.770358978621666,0.04595794937967281,8.000590849753571,0.0168290002082249,0.04224266222369137
1.216,1.8606516044404855,1.860652569895118,0.044324740543597876,8.329101228633899,0.016747461907500254,0.03929365248514539
1.218,1.9476140900421264,1.947615006360746,0.042627282998893117,8.643002020146367,0.01667182756679985,0.03634170511735444
1.22,2.0311198767952936,2.0311207425487456,0.04086854337301179,8.94185037464141,0.016602085094984585,0.03340475674863492
1.222,2.1110494392647627,2.1110502531060176,0.03905157429303746,9.2252292429198,0.01653818674386326,0.030500509095292484
1.224,2.187289438930654,2.1872901995968825,0.03717950916857476,9.49274793909411,0.016480049689395822,0.02764631804032269
1.226,2.2597328804454957,2.2597335867600616,0.0352555568664902,9.744042659111788,0.016427556831764615,0.024859085799326486
1.228,2.328279257140057,2.3282799080143435,0.0332829962864371,9.97877695428897,0.01638055780747224,0.022155156836059713
1.23,2.3928346855885514,2.3928352800236232,0.03126517084622131,10.196642159278632,0.016338870205328357,0.01955021816086814
1.232,2.4533120290620407,2.4533125661502067,0.029205482886172317,10.39735777397161,0.016302280976953534,0.01705920461229008
1.234,2.5096310097172942,2.509631488643494,0.027107388001776946,10.580671798904715,0.016270548031263696,0.014696209685577614
1.236,2.561718309386955,2.561718729429983,0.024974389313910533,10.746361023826031,0.01624340200131056,0.012474402432055373
1.238,2.6095076588555886,2.6095080193892,0.022810031686062784,10.89423126914361,0.01622054817084789,0.010405950910383764
1.24,2.6529399155250473,2.652940216018875,0.020617895898002614,11.024117580060242,0.016201668547076456,0.00850195262521746
1.242,2.6919631293914983,2.6919633694118428,0.01840159278535817,11.135884373273157,0.016186424065197266,0.006772372340762916
1.244,2.7265325972754377,2.7265327764858855,0.016164757354604778,11.229425536193846,0.016174456909677334,0.005225987606664985
1.246,2.7566109052650005,2.7566110234268786,0.013911042882954971,11.3046644787191,0.016165392936508913,0.003870342281828243
1.248,2.782167959351855,2.7821680163245475,0.011644115012630898,11.361554137660038,0.016158844180225014,0.0027117082885475255
1.25,2.803181004257906,2.803180999998997,0.009367645848970598,11.400076934011036,0.016154411429023404,0.0017550557750347215
1.252,2.819634630469883,2.819634565035142,0.007085308071775743,11.420244683315047,0.01615168685104992,0.0010040318094394099
1.254,2.831520769517673,2.831520643060888,0.004800769069249758,11.422098459455688,0.016150256654701236,0.0004609476731253037
1.256,2.838838677550843,2.8388384903234956,0.0025176851038018334,11.405708412279408,0.016149703765726768,0.00012677476563811298
1.258,2.841594907286313,2.8415946596370842,0.0002396955189044622,11.37117353952334,0.01614961050393993,1.149078835657588e-06
1.26,2.8398032684183696,2.839802960792508,-0.002029583003910118,11.318621413595276,0.016149561242488113,8.238414339521637e-05
1.262,2.833484776600304,2.8334844095388214,-0.004286562128945491,11.248207863822307,0.016149145032877895,0.00036749229770619403
1.264,2.822667591124735,2.822667165263463,-0.006527687482289751,11.160116614853145,0.01614795817930404,0.0008522140773288461
1.266,2.8073869414472514,2.8073864575157303,-0.008749444191122165,11.054558881966562,0.016145606746284912,0.0015310554730712282
1.268,2.787685042715202,2.7876845015354363,-0.010948362337839785,10.931772924104012,0.01614170898415926,0.0023973327576125732
1.27,2.7636110004804064,2.76361040296546,-0.013121022320636003,10.792023555508905,0.016135897657645767,0.0034432245347725643
1.272,2.7352207047910952,2.735220051943542,-0.015264060112345873,10.635601616917464,0.016127822263402335,0.004659830622266166
1.274,2.7025767138745618,2.702576006784804,-0.017374172409568067,10.462823407306885,0.01611715112334103,0.006037237338347925
1.276,2.6657481276378037,2.6657473674822336,-0.019448121664280463,10.274030077265605,0.01610357334135219,0.0075645887253731016
1.278,2.6248104512287607,2.624809639267802,-0.02148274099038499,10.069586985107343,0.016086800612059297,0.00923016320919935
1.28,2.5798454489156613,2.5798445864916664,-0.023474938937847297,9.849883016905698,0.016066568871259995,0.011021455162713184
1.282,2.5309409885564342,2.530940077091445,-0.02542170412733744,9.615329871678988,0.01604263977879947,0.012925260814757708
1.284,2.478190876944057,2.478189917937466,-0.02732010973852884,9.366361313005651,0.016014802025763802,0.01492776792250517
1.286,2.421694686327156,2.421693681353211,-0.02916731784547374,9.103432388399149,0.01598287245906482,0.017014648605977817
1.288,2.361557572418062,2.361556523123271,-0.030960583592743816,8.827018617817373,0.015946697017706568,0.01917115472806555
1.29,2.297890084212872,2.297888992313302,-0.03269725920630398,8.537615152725408,0.01590615147626883,0.021382215192084608
1.292,2.2308079659598383,2.2308068332382827,-0.03437479783337548,8.235735907171843,0.01586114199240692,0.02363253452170871
1.294,2.1604319516236083,2.160430779926657,-0.035990757205840156,7.92191266237763,0.01581160545644106,0.025906692084994704
1.296,2.0868875522034296,2.086886343438461,-0.03754280312204146,7.596694146372889,0.01575750964238507,0.028189241325207316
1.298,2.0103048362734066,2.0103035924054415,-0.03902871274214807,7.260645090250665,0.015698853161034053,0.03046480836618223
1.3,1.9308182041222637,1.9308169271707805,-0.040446377692563075,6.914345262637793,0.015635665216987168,0.03271818936898928
1.302,1.848566155878763,1.848564847914379,-0.041793806975184526,6.5583884840113615,0.015568005172715688,0.03493444602957966
1.304,1.7636910540169997,1.7636897171580979,-0.04306912967765151,6.193381622514968,0.015495961923990999,0.037098998623807236
1.306,1.6763388806431934,1.6763375170524926,-0.04427059748104303,5.819943572951913,0.015419653092154815,0.03919771602657066
1.308,1.586658989972318,1.586657601853335,-0.0453965869618345,5.438704220652582,0.015339224039836962,0.04121700215566804
1.31,1.4948038564089687,1.4948024460024372,-0.046445601685257916,5.050303391930717,0.015254846717798413,0.04314387831811266
1.312,1.4009288186522255,1.4009273882324833,-0.047416274087556186,4.655389792857778,0.0151667183515919,0.04496606096692504
1.314,1.305191820248944,1.3051903721202147,-0.048307367144969096,4.254619938096394,0.015075059977683701,0.04667203440957679
1.316,1.2077531470238847,1.207751683516579,-0.04911777582763768,3.8486570715427852,0.014980114839562537,0.04825111804508137
1.318,1.1087751618183608,1.1087736852852816,-0.049846528336964284,3.4381700805341575,0.01488214665516958,0.04969352774495567
1.32,1.0084220369716683,1.0084205497842076,-0.05049278712531715,3.0238324053803303,0.014781437767713144,0.05099043103365187
1.322,0.9068594849814219,0.9068579895257595,-0.05105584969732047,2.606320945979278,0.014678287192578436,0.05213399576630758
1.324,0.8042544877800958,0.8042529864533238,-0.0515351491923224,2.186314967273935,0.014573008573603491,0.05311743204549857
1.326,0.7007750250655256,0.7007735202717862,-0.05193025474798461,1.7644950053024102,0.014465928062464065,0.05393502716381156
1.328,0.5965898021228951,0.5965882962695389,-0.05224087164528667,1.3415417755858472,0.014357382135290654,0.054582173405186334
1.33,0.49186797757479356,0.49186647306848086,-0.0524668412355864,0.9181350855874462,0.014247715360928183,0.05505538858480459
1.332,0.3867788914943027,0.3867773907371374,-0.05260814065072249,0.4949527529627611,0.014137278135442122,0.055352329254524
1.334,0.2814917943137573,0.2814902996994608,-0.052664882297488586,0.07266953130525766,0.014026424397573588,0.05547179654816652
1.336,0.17617557695882452,0.1761740908688615,-0.052637313138146555,-0.34804395492763307,0.01391550933985003,0.05541373468806592
1.338,0.0709985026338752,0.07099702743367725,-0.052525813758981854,-0.7665222646441363,0.013804887129968742,0.05517922222086495
1.34,-0.03387205931971391,-0.03387352128455951,-0.05233089722923432,-1.182106181863542,0.013694908656888539,0.054770456096333686
1.342,-0.13826989707568452,-0.1382713434831823,-0.05205320775306296,-1.5941437433639973,0.013585919315792313,0.05419072874767069
1.344,-0.24203021707443986,-0.24203164562986415,-0.05169351911752326,-2.0019912506482247,0.013478256845722916,0.053444398375074864
1.346,-0.34498990146927344,-0.34499130990885407,-0.05125273293984923,-2.4050142646740786,0.01337224923324909,0.052536852676070125
1.348,-0.44698776186944056,-0.4469891479639667,-0.0507318767176398,-2.802588581830558,0.01326821269499112,0.051474466305876064
1.35,-0.5478647889897326,-0.5478661505480703,-0.05013210168584937,-3.1941011896759175,0.013166449751231234,0.050264552388806824
1.352,-0.6474643978243066,-0.6474657326969143,-0.04945468048477532,-3.5789512009927327,0.013067247402156066,0.04891530843702433
1.354,-0.7456326679711951,-0.7456339740534972,-0.04870100464352018,-3.956550764755184,0.012970875417532555,0.04743575706576348
1.356,-0.8422185787431544,-0.8422198539789003,-0.04787258188368306,-4.326325952646279,0.012877584749809977,0.0458356819241988
1.358,-0.9370742387102896,-0.9370754810948054,-0.04697103324830281,-4.687717619807215,0.012787606079774779,0.044125559288263366
1.36,-1.0300551093301962,-1.030056316913523,-0.04599809006133446,-5.040182238547474,0.012701148502967663,0.042316485785812714
1.362,-1.1210202223321788,-1.1210213932221722,-0.04495559072318988,-5.3831927037925125,0.012618398364110155,0.04042010274541912
1.364,-1.2098323905334045,-1.2098335228987112,-0.0438454773481134,-5.716239109095886,0.012539518245787171,0.038448517677678505
1.366,-1.2963584117766227,-1.2963595038495317,-0.0426697922493924,-6.038829492094338,0.012464646116599554,0.036414223412126155
1.368,-1.380469265691308,-1.3804703157705447,-0.041430674278622064,-6.350490548337674,0.012393894642942977,0.034330015423625515
1.37,-1.4620403029927258,-1.4620413094461122,-0.04013035502545162,-6.6507683124799355,0.012327350667494075,0.032208907889375804
1.372,-1.5409514270464755,-1.540952388313453,-0.03877115488443647,-6.939228805874631,0.012265074856397948,0.03006404902145924
1.374,-1.6170872674395065,-1.6170881820335938,-0.03735547899580631,-7.215458649674153,0.01220710151606057,0.02790863622012253
1.3760000000000001,-1.69033734531239,-1.6903382118234593,-0.03588581306713357,-7.479065642592231,0.012153438579361749,0.025755831589785092
1.3780000000000001,-1.7605962302217744,-1.7605970473182542,-0.03436471908304868,-7.729679302548071,0.012104067760026496,0.023618678353137003
1.3800000000000001,-1.8277636883163821,-1.8277644547473064,-0.03279483091029888,-7.966951371471506,0.012058944872831285,0.0215100186887019
1.3820000000000001,-1.8917448216246586,-1.891745536221568,-0.031178849805585353,-8.190556282610341,0.01201800031628367,0.019442413503984995
1.3840000000000001,-1.9524501982671587,-1.9524508599459045,-0.029519539833738874,-8.400191589743413,0.011981139713405415,0.01742806463991392
1.3860000000000001,-2.0097959734220128,-2.009796581184401,-0.027819723203907264,-8.595578357766197,0.011948244705276754,0.015478739982840325
1.3880000000000001,-2.063704000887248,-2.063704553822531,-0.0260822755315281,-8.776461514179553,0.011919173891068818,0.013605701938050989
1.3900000000000001,-2.114101935099386,-2.1141024323856454,-0.024310121033947668,-8.942610161076498,0.011893763907407862,0.011819639693703697
1.3920000000000001,-2.1609233234835306,-2.160923764388879,-0.02250622766762167,-9.093817847286555,0.011871830639084311,0.010130605676536383
1.3940000000000001,-2.204107689026099,-2.204108072909766,-0.0206736022148948,-9.229902800402291,0.011853170552346456,0.008547956570794062
1.3960000000000001,-2.2436006029773954,-2.243600929290653,-0.018815285328404853,-9.350708118477678,0.0118375621413075,0.007080299239785738
1.3980000000000001,-2.2793537476073458,-2.2793540158942713,-0.016934346541192632,-9.456101921253236,0.011824767477349318,0.0057354418555440575
1.4000000000000001,-2.311324968953913,-2.3113251788520266,-0.01503387925062133,-9.545977460828079,0.011814533850830929,0.0045203505064452506
