time_s,angle_deg,omega_rad_per_s,alpha_rad_per_s2,actuator_length_m,moment_arm_m,actuator_force_N,quasistatic_force_N,pivot_load_on_mount_x_N,pivot_load_on_mount_y_N,fixed_anchor_load_on_mount_x_N,fixed_anchor_load_on_mount_y_N,center_acceleration_x_m_per_s2,center_acceleration_y_m_per_s2
0.222,13.2932332873125,0.6943430464135039,4.835418330188552,0.17167148372743296,0.03524754168959962,136.29140464092708,121.88702634013883,-125.03753915173434,25.9670790782917,125.7490006367654,-52.55983083926062,-0.28458459401242475,0.8271007043875672
0.228,13.536925658,0.7234235724210006,4.857294941531519,0.17152125288907083,0.03539552262599212,135.66342789462797,121.25437468612165,-124.49181148865077,25.572208046372683,125.23240326766623,-52.167143298493414,-0.2962367116061815,0.8279741008482927
0.23399999999999999,13.7906361049375,0.7526211173006901,4.874437347278451,0.17136417797452658,0.03554932029548669,134.99724317049723,120.59989556412913,-123.91180134481264,25.160673350095454,124.6822250621008,-51.755177684923545,-0.30816948691526025,0.8278017339312345
0.24,14.054400000000001,0.7819075048934597,4.8869219055841215,0.17120015747600983,0.0357089222149496,134.2936461648832,119.92393774866247,-123.29816281441211,24.732981990617038,124.09908768819271,-51.32445650191639,-0.32036994951223824,0.8265898045197378
0.24599999999999997,14.3282431075625,0.8112550171891264,4.894824974603309,0.17102909261634727,0.03587430827245196,133.55347585404832,119.22688261551004,-122.65158936499016,24.289670366254835,123.483647254908,-50.875532167470425,-0.3328231559671388,0.8243447204862343
0.252,14.612181742,0.840636394326436,4.898222912490786,0.17085088739056215,0.036045450823352934,132.7776112494234,118.50914202338942,-121.9728112530709,23.831302024516294,122.83659182503763,-50.408984892696466,-0.3455122287866929,0.8210731472720695
0.2535898384862246,14.689110867544647,0.8484239419416881,4.898377912669568,0.17080245927872956,0.036091759466965495,132.56616100519506,118.31554844359171,-121.78765205109457,23.707397275723313,122.65993127475309,-50.282485055217265,-0.34891168946341167,0.8200351117975804
0.258,14.906222925187498,0.8700248345930623,4.897192077401328,0.17066544862100455,0.036222314790180794,131.9669680864146,117.77115616479408,-121.26259287663386,23.358465352911377,122.15863888104028,-49.92542050551369,-0.35841840176256456,0.8167820610409263
0.264,15.210364544000003,0.8993939944256076,4.891808827489706,0.17047268602561247,0.036404857766371305,131.12249546852433,117.01339139832822,-120.52173008159397,22.871771223043343,121.45053276048858,-49.425468233357925,-0.371521071557846,0.8114788041258322
0.27,15.524595507812503,0.9287179884096041,4.8821495209107,0.1702725122988392,0.03659303012392208,130.24517248813711,116.23633807459935,-119.75104743910943,22.371850602320922,120.71304207751406,-48.909778458472964,-0.38479785536185057,0.805171142460816
0.27599999999999997,15.848895905999996,0.9579713892795105,4.868290515819083,0.1700648432047407,0.03678677512502012,129.3360048447031,115.44050836740149,-118.95139551002833,21.859352147347305,119.94695714613434,-48.37902045900142,-0.3982246544424035,0.7978673246616427
0.282,16.1832371654375,0.9871292279187172,4.850308170369628,0.16984959768167593,0.03698602903769847,128.3960214802494,114.6264341214735,-118.12364811213956,21.334939792632102,119.15308742069566,-47.8338801486219,-0.41177572342243574,0.7895761423959181
0.288,16.527582208,1.0161669933595403,4.828278842717111,0.1696266979580352,0.03719072125557654,127.42627125117673,113.79466472756623,-117.26869960512066,20.79929034775071,118.33225896787981,-47.275057826903826,-0.42542374510366016,0.7803069916612467
0.294,16.881885608062497,1.0450606327832257,4.80227889101631,0.16939606967837711,0.037400774421736484,126.42781965418236,112.94576503491598,-116.38746220719447,20.25309111545607,117.48531198383077,-46.70326595188405,-0.43913991065452,0.7700699345711924
0.3,17.24609375,1.073786551519949,4.772384673421994,0.16915764203932007,0.03761610455678592,125.40174562290657,112.08031331050857,-115.48086335653475,19.697037542543786,116.61309836896571,-46.11922694562533,-0.45289400497238314,0.7588757612326167
0.306,17.620144985687503,1.1023216130488123,4.7386725480889424,0.16891134793450466,0.03783662119115485,124.34913841055439,111.19889925374366,-114.54984312941303,19.13183091449503,115.7164793719661,-45.52367104270657,-0.4666544970212276,0.7467360512846134
0.312,18.003969792,1.1306431389978482,4.701218873171927,0.16865712410791453,0.03806222750167107,123.27109457232059,110.30212207428747,-113.5953517259776,18.558176104090013,114.7963233133172,-44.917334190736995,-0.4803886349358442,0.7336632346587908
0.31799999999999995,18.397490928312497,1.158728909144017,4.660100006825722,0.16839491131481674,0.03829282045245551,122.1687150599626,109.39058864004453,-112.61834703341307,17.976779383308017,113.85350339759297,-44.30095601109093,-0.4940625456719584,0.7196706511131662
0.324,18.800623594,1.1865571614132082,4.615392307205106,0.16812465448955974,0.03852829094017442,121.04310243934826,108.46491170129985,-111.61979227506362,17.388346306924436,112.88889562248553,-43.67527782714296,-0.507641338968766,0.7047726080874088
0.33,19.213275585937502,1.214106591880239,4.567172132464847,0.1678463029194454,0.03876852394368113,119.89535824027385,107.52570819619547,-110.6006537529341,16.79357967529273,111.9033767913748,-43.041040766357,-0.5210892153762815,0.6889844364257067
0.336,19.635347455999998,1.2413563547688566,4.515515840759728,0.1675598104238726,0.039013398678075246,118.7265804463177,106.57359764181719,-109.56189868981993,16.19317758287011,110.89782263503189,-42.39898394165785,-0.5343695780847848,0.6723225435150955
0.34199999999999997,20.066732668562498,1.268286062451736,4.460499790244519,0.16726513553793354,0.039262788753201106,117.53786113099216,105.60920061429644,-108.5044931761777,15.587831558125817,109.87310604687178,-41.749842716605094,-0.5474451482776321,0.6548044633917106
0.348,20.507317757999996,1.29487578545048,4.402200339073997,0.16696224169963067,0.039516562336602126,116.33028424498774,104.63313732047834,-107.42940022574284,14.978224799563446,108.83009543502286,-41.09434705800127,-0.5602780837120085,0.636448903375128
0.354,20.956982486187503,1.3211060524356224,4.340693845402935,0.1666510974398693,0.03977458232094036,115.10492355789258,103.64602626288931,-106.3375779428418,14.365030511709815,107.76965319337918,-40.43321997871389,-0.5728301002149527,0.6172757868016308
0.36,21.415599999999998,1.3469578502266237,4.276056667386107,0.16633167657437273,0.04003670649588435,113.86284075642118,102.6484829989544,-105.22997780334056,13.748910344074364,106.69263429275166,-39.76717607267681,-0.585062595764443,0.5973062914409791
0.366,21.8830369888125,1.3724126237918737,4.208365163178291,0.16600395839666035,0.04030278772446029,112.60508369991761,101.64111899467865,-104.10754305022967,13.130512935275757,105.59988499224885,-39.096920143270445,-0.5969367768076705,0.5765628831978755
0.37199999999999994,22.359153841999994,1.397452276248691,4.137695690934257,0.16566792787122364,0.04057267412385401,111.33268483271166,100.6245405723198,-102.97120720397216,12.510472563769188,104.49224167009982,-38.42314592556631,-0.608413786451061,0.5550693447188482
0.37799999999999995,22.843804806437493,1.4220591688633222,4.064124608808785,0.16532357582603546,0.040846209250642654,110.04665975181386,99.59934795094685,-101.82189268694081,11.88940790589383,103.37052977228929,-37.7465349022628,-0.6194548341393873,0.5328507985475869
0.384,23.336838144000005,1.4462161210509428,3.987728274956642,0.1649708991435261,0.041123232290426526,108.74800592743605,98.56613437820174,-100.66050956054646,11.26792090129825,102.23556287660804,-37.0677552125401,-0.6300213264246363,0.5099337244967385
0.39,23.838096289062495,1.4699064103756583,3.908583047532611,0.16460990094916517,0.04140357825182206,107.43770157292973,97.52548535106577,-99.48795437301528,10.646595725194626,101.08814186903884,-36.38746065252405,-0.6400749984094224,0.48634597093176724
0.396,24.347416006,1.4931137725505002,3.8267652846914677,0.16424059079679182,0.04168707816476782,106.11670465993483,96.47797792297206,-98.30510911520514,10.025997866339889,99.92905422879231,-35.706289765571,-0.649578045434865,0.46211675969244487
0.40199999999999997,24.864628546687495,1.5158224014374306,3.74235134458798,0.16386298484984574,0.041973559283085146,104.78595207383994,95.42418009420965,-97.11284028136397,9.406673309146658,98.75907341778709,-35.024865020171276,-0.658493254569246,0.4372766844098462
0.408,25.389559807999998,1.5380169490473405,3.6554175853769246,0.16347710605765997,0.04226284529122572,103.446358904056,94.36465028222162,-95.91199803131997,8.789147817884132,97.578958369924,-34.343792072911896,-0.6667841354416109,0.4118577020111057
0.414,25.9220304893125,1.5596825255400484,3.566040365213079,0.16308298432599025,0.04255475651512729,102.09881786311118,93.29993686812135,-94.70341545025764,8.17392632054263,96.38945307514267,-33.66365911364389,-0.6744150499540132,0.3858931172405015
0.42,26.461856249999993,1.5808046992243017,3.4742960422512135,0.16268065668097056,0.04284911013708888,100.7441988281683,92.23057781552053,-93.48790790196557,7.561492389599206,95.19128625295942,-32.9850362897579,-0.6813513403975406,0.3594175600634768
0.426,27.008847866937494,1.6013694965577767,3.380260974646102,0.16227016742570127,0.04314572041456592,99.38334849825198,91.15710035759008,-92.2662724712407,6.952307816635205,93.98517110996762,-32.30847520628461,-0.6875594554907695,0.3324669558597621
0.43199999999999994,27.562811391999997,1.621363402147078,3.284011520552528,0.16185156828869687,0.04344439890277495,98.01709016024434,90.08002074815056,-91.03928749099825,6.3468122775182,92.77180517563593,-31.634508498399626,-0.6930070738550724,0.3050784883525699
0.43799999999999994,28.123548309562498,1.6407733587477393,3.185624038125264,0.16142491856344066,0.0437449546809866,96.64622355655438,88.99984407250986,-89.80771214955189,5.745423084663933,91.5518702106504,-30.963649472820624,-0.6976632244394069,0.2772905552626753
0.444,28.690855693999996,1.6595867672642233,3.085174885519076,0.16099028523831882,0.044047194582375104,95.27152484729044,87.9170641137316,-88.5722861735035,5.148535022739825,90.32603218202347,-30.29639181453692,-0.7014984034079901,0.24914271671883695
0.45,29.2645263671875,1.6777914867499202,2.9827404208887467,0.16054774311623238,0.04435092342728067,93.89374665975284,86.8321632700218,-87.33372958169667,4.556520264053141,89.09494129921602,-29.63320935530093,-0.7044846870077397,0.22067563649911484
0.456,29.844349056000006,1.6953758344071492,2.878397002389048,0.16009737492321197,0.044655944259731316,92.51361821811217,85.74561251896074,-86.09274250574916,3.969728359783261,87.85923210559568,-28.97455590033574,-0.7065958399386109,0.19193101622099065
0.46199999999999997,30.4301085498125,1.7123285855871593,2.772220988174758,0.15963927140539333,0.04496205858705847,91.13184554624385,84.65787142437986,-84.85000507277356,3.3884863031635355,86.6195236196714,-28.320865109767315,-0.7078074187591368,0.1629515226415102
0.46799999999999997,31.02158585799999,1.7286389737901275,2.6642887364006427,0.15917353141373966,0.0452690666224311,89.74911173683759,83.56938818178092,-83.60617734602134,2.8130986606919777,85.37641952070015,-27.672550431370972,-0.708096869871526,0.13378070827159644
0.474,31.6185583674375,1.7442966906651576,2.5546766052214855,0.15870026197593462,0.04557676753012112,88.36607728009537,82.48059969832131,-82.36189931933687,2.243847767447182,84.13050837345122,-27.030005081324738,-0.7074436216457414,0.10446292555102137
