time_s,height_m,velocity_m_per_s,acceleration_m_per_s2,cable_tension_N,power_W,actuator_work_exact_J
0.445,0.19885192764687504,0.914949759375,0.8150174999999997,106.250175,97.21357204980164,23.693039413060298
0.45,0.20343656250000008,0.9188437499999995,0.7424999999999997,105.525,96.96098671874995,24.178495965820318
0.455,0.208039758915625,0.9223740093750004,0.6695324999999981,104.79532499999998,96.66048408400619,24.66256941547538
0.46,0.21265969279999997,0.9255384000000004,0.5961600000000002,104.0616,96.31300676544004,25.145022513052805
0.465,0.21729452993437498,0.928335009375,0.5224275,103.32427500000001,95.9195418007901,25.62562283471859
0.47,0.22194242709999995,0.9307621500000002,0.44837999999999845,102.5838,95.48111824317002,26.10414299787311
0.475,0.22660153320312493,0.9328183593750001,0.37406250000000085,101.84062500000002,94.99880473022463,26.58036086516189
0.48,0.23126999039999996,0.9345024000000004,0.2995199999999967,101.09519999999996,94.47370702848,27.0540597362688
0.485,0.23594593522187501,0.9358132593750002,0.22479749999999932,100.34797499999999,93.90696555643102,27.525028527376247
0.49,0.24062749969999994,0.9367501499999997,0.14994000000000085,99.59940000000002,93.29975288990998,27.99306193819511
0.495,0.245312812490625,0.9373125093749999,0.07499249999999869,98.84992499999998,92.65327125328052,28.457960606484612
0.5,0.25,0.9375,0.0,98.10000000000001,91.96875000000001,28.919531250000002
0.505,0.254687187509375,0.9373125093749997,-0.0749924999999978,97.35007500000002,91.24744308609444,29.377586795823987
0.51,0.25937250030000014,0.9367501499999995,-0.1499399999999973,96.60060000000003,90.49062654008998,29.831946497055124
0.515,0.26405406477812493,0.9358132593749999,-0.22479749999999754,95.85202500000003,89.699595932944,30.28243603684436
0.52,0.26873000960000004,0.9345023999999995,-0.29951999999999934,95.10480000000001,88.87566385151996,30.728887619788804
0.525,0.2733984667968751,0.9328183593749999,-0.37406250000000085,94.359375,88.02015737915038,31.171140050708782
0.53,0.2780575729,0.930762150000001,-0.448380000000002,93.61619999999999,87.13441558683009,31.609038800853124
0.535,0.282705470065625,0.9283350093749998,-0.5224274999999974,92.87572500000003,86.21978703858493,32.04243606159422
0.54,0.2873403072000001,0.9255384000000002,-0.5961599999999994,92.13840000000002,85.27762731456004,32.47119078569281
0.545,0.2919602410843749,0.9223740093750006,-0.6695325000000008,91.404675,84.30929655536887,32.89516871622975
0.55,0.29656343750000014,0.9188437499999991,-0.7425000000000015,90.67499999999998,83.3161570312499,33.31424240332032
0.555,0.301148072353125,0.9149497593750002,-0.8150175000000015,89.94982499999999,82.29957073957337,33.72829120874342
0.56,0.30571233279999993,0.9106944000000001,-0.8870400000000007,89.2296,81.26089703424002,34.137201298636796
0.565,0.31025441837187495,0.906080259374999,-0.9585224999999973,88.51477500000003,80.2014902905197,34.54086562442626
0.57,0.3147725420999999,0.9011101500000012,-1.0294200000000018,87.80579999999999,79.1226976088701,34.939183892175116
0.575,0.31926493164062514,0.8957871093750001,-1.0996874999999964,87.10312500000003,78.02585656127933,35.33206252055742
0.58,0.3237298303999999,0.8901144000000003,-1.1692800000000005,86.4072,76.91229298368003,35.719414587676795
0.585,0.32816549865937494,0.8840955093749998,-1.2381525,85.71847500000001,75.7833188179732,36.101159766969886
0.59,0.3325702147000001,0.8777341499999995,-1.3062599999999982,85.03740000000002,74.64023000720998,36.47722425245112
0.595,0.33694227592812487,0.8710342593749998,-1.3735575000000022,84.36442499999998,73.4843044474727,36.847540673573825
0.6,0.3412799999999998,0.8640000000000008,-1.4400000000000013,83.69999999999999,72.31680000000006,37.212047999999996
0.605,0.34558172594687486,0.856635759375,-1.5055425000000024,83.04457499999998,71.13895256709912,37.57069143658834
0.61,0.34984581530000003,0.8489461499999997,-1.5701399999999968,82.39860000000004,69.95197423539001,37.92342230892911
0.615,0.35407065321562475,0.8409360093750005,-1.633747500000002,81.76252499999998,68.7570514899237,38.27019793977055
0.62,0.3582546496000001,0.8326104000000005,-1.6963200000000036,81.13679999999997,67.55534350272002,38.61098151670082
0.625,0.362396240234375,0.823974609375,-1.7578125,80.52187500000001,66.34798049926758,38.94574195146561
0.63,0.3664938878999999,0.8150341499999993,-1.8181800000000035,79.91819999999997,65.13606220652993,39.2744537313211
0.635,0.3705460835031252,0.8057947593749994,-1.877377499999998,79.32622500000002,63.920656386002086,39.597096762837644
0.64,0.37455134720000044,0.7962623999999989,-1.9353600000000029,78.74639999999998,62.7027974553599,39.91365620858883
0.645,0.378508229521875,0.7864432593749999,-1.9920824999999986,78.17917500000001,61.483485202248524,40.22412231717781
0.65,0.38241531249999966,0.7763437500000014,-2.0475000000000065,77.62499999999994,60.263683593750066,40.528490247070295
0.655,0.3862712107906248,0.7659705093750016,-2.1015675000000016,77.08432499999999,59.04431968507816,40.8267598847213
0.66,0.3900745728,0.7553304000000001,-2.154239999999998,76.55760000000002,57.82628263104002,41.118935657500806
0.665,0.3938240818093752,0.7444305093749999,-2.205472499999999,76.04527500000002,56.61042280381196,41.40502634194132
0.67,0.39751845710000006,0.7332781499999999,-2.255220000000005,75.54779999999995,55.397551020569956,41.68504486784712
0.675,0.4011564550781249,0.7218808593749997,-2.3034375000000047,75.06562499999995,54.18843788452143,41.959008118824
0.68,0.40473687039999967,0.7102464000000017,-2.350080000000002,74.59919999999998,52.98381324288012,42.226936729804784
0.685,0.4082585370968751,0.6983827593749998,-2.3951025,74.14897500000001,51.784365765327884,42.488854882164645
0.69,0.41172032970000016,0.6862981500000003,-2.4384599999999956,73.71540000000005,50.59074264651005,42.74479009703714
0.695,0.4151211643656249,0.6740010093750008,-2.4801075000000026,73.29892499999998,49.40354943610247,42.994773027460404
0.7,0.41845999999999983,0.6615000000000006,-2.5199999999999996,72.9,48.22335000000005,43.238837249999996
0.705,0.4217358393843752,0.6488040093749996,-2.558092499999997,72.51907500000003,47.05066661616632,43.47701905651258
0.71,0.42494773029999977,0.6359221500000007,-2.594340000000006,72.15659999999994,45.885980208690015,43.7093572467331
0.715,0.42809476665312496,0.6228637593750008,-2.6286974999999977,71.81302500000002,44.72973072359093,43.93589292238536
0.72,0.4311760896000002,0.6096384000000006,-2.661120000000004,71.48879999999997,43.58231764992002,44.15666928353282
0.725,0.43419088867187494,0.5962558593750007,-2.6915625,71.184375,42.444100689697315,44.37173142790604
0.73,0.43713840290000006,0.58272615,-2.719979999999996,70.90020000000004,41.315400580230026,44.581126153959126
0.735,0.44001792194062506,0.5690595093750002,-2.7463274999999996,70.63672500000001,40.19650007235681,44.784901768425904
0.74,0.44282878719999996,0.5552663999999998,-2.7705599999999997,70.3944,39.08764506815999,44.98310789916479
0.745,0.4455703929593753,0.5413575093749996,-2.7926325,70.173675,37.989045921690675,45.17579531409823
0.75,0.4482421875,0.52734375,-2.8125,69.97500000000001,36.90087890625001,45.363015747070314
0.755,0.450843674228125,0.5132362593750015,-2.8301175000000036,69.79882499999997,35.823287851770324,45.544821731465284
0.76,0.45337441280000035,0.4990463999999992,-2.84544,69.6456,34.756385955839946,45.72126644244483
0.765,0.4558340202468749,0.4847857593750007,-2.858422500000003,69.51577499999998,33.700257771916675,45.89240354868241
0.77,0.45822217209999994,0.47046615,-2.8690199999999955,69.40980000000005,32.65496137827002,46.05828707448911
0.775,0.46053860351562514,0.4560996093749985,-2.8771875000000016,69.32812499999999,31.62053073120106,46.218971273242964
0.78,0.46278311039999953,0.4416984000000017,-2.8828800000000037,69.27119999999996,30.596978206080102,46.37451051305277
0.785,0.46495555053437476,0.4272750093750002,-2.886052499999998,69.23947500000003,29.5842973297451,46.5249591756042
0.7886751345948128,0.4665063509461096,0.41666666666666785,-2.8867513459481273,69.23248654051874,28.846869391882887,46.63232858336891
0.79,0.46705584470000017,0.41284215000000124,-2.886660000000006,69.23339999999995,28.582465707810062,46.67037156915313
0.795,0.46908397780312516,0.39841275937499887,-2.8846574999999994,69.25342500000001,27.591448150419534,46.810801856650585
0.8,0.47104000000000024,0.38399999999999945,-2.8800000000000026,69.29999999999998,26.611199999999954,46.946304000000026
0.805,0.47292402782187537,0.3696172593749987,-2.8726424999999978,69.37357500000003,25.641670664545934,47.0769317214654
0.81,0.4747362452999997,0.35527815000000196,-2.8625400000000063,69.47459999999994,24.682807359990115,47.20273848326709
0.815,0.476476905090625,0.34099650937500225,-2.849647500000003,69.60352499999998,23.734559065195697,47.32377748642
0.82,0.4781463295999999,0.32678640000000136,-2.833920000000006,69.76079999999995,22.796880693120077,47.4401016898848
0.825,0.47974491210937575,0.3126621093749993,-2.8153124999999974,69.94687500000003,21.869737481689413,47.55176385112389
0.83,0.4812731178999998,0.29863815000000127,-2.7937800000000053,70.16219999999996,20.953109607930077,47.6588165891671
0.835,0.4827314853781248,0.28472925937500104,-2.7692775000000083,70.40722499999993,20.046997028899035,47.76131247131523
0.84,0.4841206271999996,0.27095039999999937,-2.741759999999992,70.68240000000009,19.15142455295998,47.85930412462076
0.845,0.48544123139687523,0.25731675937499787,-2.7111824999999996,70.98817500000001,18.266447144945243,47.952844373309716
0.85,0.48669406250000025,0.24384374999999903,-2.677499999999995,71.32500000000006,17.392155468749944,48.04198640332034
0.855,0.48787996266562494,0.23054700937499817,-2.6406674999999993,71.69332500000002,16.528681670899793,48.12678395515659
0.86,0.48899985280000013,0.21744239999999948,-2.6006399999999985,72.09360000000002,15.676205408639968,48.20729154626882
0.865,0.490054733684375,0.20454600937500267,-2.5573724999999996,72.52627500000001,14.834960126084024,48.28356472419339
0.87,0.4910456871000002,0.1918741500000003,-2.5108199999999954,72.99180000000005,14.005239581970033,48.35566035170113
0.875,0.491973876953125,0.179443359375,-2.4609375,73.49062500000001,13.187404632568361,48.42363692522049
0.88,0.4928405503999995,0.1672703999999996,-2.407679999999999,74.02320000000002,12.381890273279973,48.48755492782076
0.885,0.49364703897187456,0.15537225937499954,-2.3510025,74.58997500000001,11.589212942474733,48.54747721805736
0.89,0.49439475970000046,0.14376614999999937,-2.290859999999995,75.19140000000006,10.809978091109961,48.60346945599916
0.895,0.49508521624062496,0.13246950937499768,-2.2272074999999845,75.82792500000016,10.044888021674144,48.65560056777558
0.9,0.4957200000000008,0.12149999999999572,-2.1599999999999966,76.50000000000004,9.294749999999677,48.70394325000008
0.905,0.49630079125937554,0.11087550937499913,-2.0891924999999887,77.20807500000012,8.560484643488149,48.74857451544057
0.91,0.4968293603,0.10061415000000196,-2.0147400000000104,77.9525999999999,7.843134589290143,48.78957628133112
0.915,0.4973075685281254,0.0907342593750009,-1.936597500000012,78.73402499999989,7.143873445987795,48.827036001730754
0.92,0.4977373695999998,0.08125440000000239,-1.8547200000000004,79.5528,6.464015032320191,48.86104734535679
0.925,0.49812081054687507,0.07219335937500126,-1.769062500000004,80.40937499999997,5.80502290649424,48.89171092033769
0.93,0.49846003289999974,0.06357015000000033,-1.6795799999999943,81.30420000000007,5.168520189630031,48.919135047345094
0.935,0.4987572738156256,0.0554040093749979,-1.5862275000000068,82.23772499999994,4.5562996868784955,48.943436582587
0.94,0.49901486719999966,0.04771440000000027,-1.4889600000000058,83.21039999999995,3.97033430976002,48.96474179215677
0.945,0.4992352448343751,0.04052100937500036,-1.3877325000000056,84.22267499999995,3.4127878032626064,48.98318727925605
0.95,0.49942093749999916,0.03384375000000084,-1.2824999999999989,85.27500000000002,2.8860257812500723,48.99892096582023
0.955,0.49957457610312517,0.02770275937500344,-1.173217500000014,86.36782499999987,2.392627073717403,49.01210313010153
0.96,0.4996988928000001,0.02211840000000187,-1.0598400000000154,87.50159999999985,1.9353953894401603,49.02290750177281
0.965,0.4997967221218751,0.01711125937500313,-0.9423225000000031,88.67677499999998,1.5173712975637927,49.03152241614294
0.97,0.4998710020999999,0.012702150000000856,-0.8206200000000052,89.89379999999996,1.1418445316700763,49.03815202908311
0.975,0.49992477539062463,0.008912109374998423,-0.6946874999999935,91.15312500000007,0.8123666198729037,49.04301759428784
0.98,0.49996119039999964,0.00576239999999828,-0.5644799999999961,92.45520000000005,0.5327638444798413,49.04635880450877
0.985,0.49998350240937395,0.0032745093750055076,-0.42995250000001306,93.80047499999988,0.30715053476746934,49.04843519841783
0.99,0.49999507470000015,0.0014701499999993928,-0.29106000000000165,95.18939999999999,0.1399426964099422,49.04952763477513
0.995,0.49999937967812613,0.00037125937500093187,-0.14775749999999732,96.62242500000004,0.03587198111657443,49.0499398355918
1.0,0.5,0.0,0.0,98.10000000000001,0.0,49.050000000000004
