time_s,position_m,velocity_m_per_s,acceleration_m_per_s2
0.345,0.113728789209375,0.765970509375,2.1015675000000016
0.35,0.11758468749999998,0.77634375,2.0475000000000008
0.355,0.12149177047812496,0.7864432593750001,1.9920824999999982
0.36,0.1254486528,0.7962624,1.9353599999999989
0.365,0.129453916496875,0.8057947593749999,1.877377500000001
0.37,0.1335061121,0.81503415,1.81818
0.375,0.137603759765625,0.823974609375,1.7578125
0.38,0.14174535040000005,0.8326103999999999,1.69632
0.385,0.145929346784375,0.8409360093749999,1.6337475000000015
0.39,0.15015418469999997,0.8489461500000003,1.5701399999999994
0.395,0.15441827405312503,0.8566357593750002,1.505542499999999
0.4,0.15872000000000003,0.8640000000000001,1.4399999999999986
0.405,0.163057724071875,0.8710342593750003,1.3735574999999973
0.41,0.16742978529999997,0.8777341500000001,1.30626
0.415,0.171834501340625,0.884095509375,1.238152499999999
0.42,0.17627016959999994,0.8901143999999996,1.1692800000000014
0.425,0.180735068359375,0.8957871093749998,1.0996875000000017
0.43,0.1852274579,0.9011101499999999,1.0294200000000018
0.435,0.189745581628125,0.9060802593750001,0.9585225000000017
0.44,0.19428766719999996,0.9106943999999999,0.8870399999999998
0.445,0.19885192764687504,0.914949759375,0.8150174999999997
0.45,0.20343656250000008,0.9188437499999995,0.7424999999999997
0.455,0.208039758915625,0.9223740093750004,0.6695324999999981
0.46,0.21265969279999997,0.9255384000000004,0.5961600000000002
0.465,0.21729452993437498,0.928335009375,0.5224275
0.47,0.22194242709999995,0.9307621500000002,0.44837999999999845
0.475,0.22660153320312493,0.9328183593750001,0.37406250000000085
0.48,0.23126999039999996,0.9345024000000004,0.2995199999999967
0.485,0.23594593522187501,0.9358132593750002,0.22479749999999932
0.49,0.24062749969999994,0.9367501499999997,0.14994000000000085
0.495,0.245312812490625,0.9373125093749999,0.07499249999999869
0.5,0.25,0.9375,0.0
0.505,0.254687187509375,0.9373125093749997,-0.0749924999999978
0.51,0.25937250030000014,0.9367501499999995,-0.1499399999999973
0.515,0.26405406477812493,0.9358132593749999,-0.22479749999999754
0.52,0.26873000960000004,0.9345023999999995,-0.29951999999999934
0.525,0.2733984667968751,0.9328183593749999,-0.37406250000000085
0.53,0.2780575729,0.930762150000001,-0.448380000000002
0.535,0.282705470065625,0.9283350093749998,-0.5224274999999974
0.54,0.2873403072000001,0.9255384000000002,-0.5961599999999994
0.545,0.2919602410843749,0.9223740093750006,-0.6695325000000008
0.55,0.29656343750000014,0.9188437499999991,-0.7425000000000015
0.555,0.301148072353125,0.9149497593750002,-0.8150175000000015
0.56,0.30571233279999993,0.9106944000000001,-0.8870400000000007
0.565,0.31025441837187495,0.906080259374999,-0.9585224999999973
0.57,0.3147725420999999,0.9011101500000012,-1.0294200000000018
0.575,0.31926493164062514,0.8957871093750001,-1.0996874999999964
0.58,0.3237298303999999,0.8901144000000003,-1.1692800000000005
0.585,0.32816549865937494,0.8840955093749998,-1.2381525
0.59,0.3325702147000001,0.8777341499999995,-1.3062599999999982
0.595,0.33694227592812487,0.8710342593749998,-1.3735575000000022
0.6,0.3412799999999998,0.8640000000000008,-1.4400000000000013
0.605,0.34558172594687486,0.856635759375,-1.5055425000000024
0.61,0.34984581530000003,0.8489461499999997,-1.5701399999999968
0.615,0.35407065321562475,0.8409360093750005,-1.633747500000002
0.62,0.3582546496000001,0.8326104000000005,-1.6963200000000036
0.625,0.362396240234375,0.823974609375,-1.7578125
0.63,0.3664938878999999,0.8150341499999993,-1.8181800000000035
0.635,0.3705460835031252,0.8057947593749994,-1.877377499999998
0.64,0.37455134720000044,0.7962623999999989,-1.9353600000000029
0.645,0.378508229521875,0.7864432593749999,-1.9920824999999986
0.65,0.38241531249999966,0.7763437500000014,-2.0475000000000065
0.655,0.3862712107906248,0.7659705093750016,-2.1015675000000016
0.66,0.3900745728,0.7553304000000001,-2.154239999999998
0.665,0.3938240818093752,0.7444305093749999,-2.205472499999999
0.67,0.39751845710000006,0.7332781499999999,-2.255220000000005
0.675,0.4011564550781249,0.7218808593749997,-2.3034375000000047
0.68,0.40473687039999967,0.7102464000000017,-2.350080000000002
0.685,0.4082585370968751,0.6983827593749998,-2.3951025
0.69,0.41172032970000016,0.6862981500000003,-2.4384599999999956
0.695,0.4151211643656249,0.6740010093750008,-2.4801075000000026
0.7,0.41845999999999983,0.6615000000000006,-2.5199999999999996
0.705,0.4217358393843752,0.6488040093749996,-2.558092499999997
0.71,0.42494773029999977,0.6359221500000007,-2.594340000000006
0.715,0.42809476665312496,0.6228637593750008,-2.6286974999999977
0.72,0.4311760896000002,0.6096384000000006,-2.661120000000004
0.725,0.43419088867187494,0.5962558593750007,-2.6915625
0.73,0.43713840290000006,0.58272615,-2.719979999999996
0.735,0.44001792194062506,0.5690595093750002,-2.7463274999999996
0.74,0.44282878719999996,0.5552663999999998,-2.7705599999999997
0.745,0.4455703929593753,0.5413575093749996,-2.7926325
0.75,0.4482421875,0.52734375,-2.8125
0.755,0.450843674228125,0.5132362593750015,-2.8301175000000036
0.76,0.45337441280000035,0.4990463999999992,-2.84544
0.765,0.4558340202468749,0.4847857593750007,-2.858422500000003
0.77,0.45822217209999994,0.47046615,-2.8690199999999955
0.775,0.46053860351562514,0.4560996093749985,-2.8771875000000016
0.78,0.46278311039999953,0.4416984000000017,-2.8828800000000037
0.785,0.46495555053437476,0.4272750093750002,-2.886052499999998
0.7886751345948128,0.4665063509461096,0.41666666666666785,-2.8867513459481273
0.79,0.46705584470000017,0.41284215000000124,-2.886660000000006
0.795,0.46908397780312516,0.39841275937499887,-2.8846574999999994
0.8,0.47104000000000024,0.38399999999999945,-2.8800000000000026
0.805,0.47292402782187537,0.3696172593749987,-2.8726424999999978
0.81,0.4747362452999997,0.35527815000000196,-2.8625400000000063
0.815,0.476476905090625,0.34099650937500225,-2.849647500000003
0.82,0.4781463295999999,0.32678640000000136,-2.833920000000006
0.825,0.47974491210937575,0.3126621093749993,-2.8153124999999974
0.83,0.4812731178999998,0.29863815000000127,-2.7937800000000053
0.835,0.4827314853781248,0.28472925937500104,-2.7692775000000083
0.84,0.4841206271999996,0.27095039999999937,-2.741759999999992
0.845,0.48544123139687523,0.25731675937499787,-2.7111824999999996
0.85,0.48669406250000025,0.24384374999999903,-2.677499999999995
0.855,0.48787996266562494,0.23054700937499817,-2.6406674999999993
0.86,0.48899985280000013,0.21744239999999948,-2.6006399999999985
0.865,0.490054733684375,0.20454600937500267,-2.5573724999999996
0.87,0.4910456871000002,0.1918741500000003,-2.5108199999999954
0.875,0.491973876953125,0.179443359375,-2.4609375
0.88,0.4928405503999995,0.1672703999999996,-2.407679999999999
0.885,0.49364703897187456,0.15537225937499954,-2.3510025
0.89,0.49439475970000046,0.14376614999999937,-2.290859999999995
0.895,0.49508521624062496,0.13246950937499768,-2.2272074999999845
0.9,0.4957200000000008,0.12149999999999572,-2.1599999999999966
0.905,0.49630079125937554,0.11087550937499913,-2.0891924999999887
0.91,0.4968293603,0.10061415000000196,-2.0147400000000104
0.915,0.4973075685281254,0.0907342593750009,-1.936597500000012
0.92,0.4977373695999998,0.08125440000000239,-1.8547200000000004
0.925,0.49812081054687507,0.07219335937500126,-1.769062500000004
0.93,0.49846003289999974,0.06357015000000033,-1.6795799999999943
0.935,0.4987572738156256,0.0554040093749979,-1.5862275000000068
0.94,0.49901486719999966,0.04771440000000027,-1.4889600000000058
0.945,0.4992352448343751,0.04052100937500036,-1.3877325000000056
0.95,0.49942093749999916,0.03384375000000084,-1.2824999999999989
0.955,0.49957457610312517,0.02770275937500344,-1.173217500000014
0.96,0.4996988928000001,0.02211840000000187,-1.0598400000000154
0.965,0.4997967221218751,0.01711125937500313,-0.9423225000000031
0.97,0.4998710020999999,0.012702150000000856,-0.8206200000000052
0.975,0.49992477539062463,0.008912109374998423,-0.6946874999999935
0.98,0.49996119039999964,0.00576239999999828,-0.5644799999999961
0.985,0.49998350240937395,0.0032745093750055076,-0.42995250000001306
0.99,0.49999507470000015,0.0014701499999993928,-0.29106000000000165
0.995,0.49999937967812613,0.00037125937500093187,-0.14775749999999732
1.0,0.5,0.0,0.0
